species,family,missing_fields
Neolissochilus hexastichus,Cyprinidae,3
Channa andrao,Channidae,3
Mystus dibrugarensis,Bagridae,3
Amblypharyngodon molla,Cyprinidae,3
Tor mosal,Cyprinidae,3
Puntius sarana,Cyprinidae,3
Rita chrysea,Bagridae,3
Puntius gonionotus,Cyprinidae,3
Channa striatus,Channidae,3
Horabagrus brachysoma,Bagridae,3
Mystus aor,Bagridae,3
Tor khudree,Cyprinidae,3
Puntius pulchellus,Cyprinidae,3
Puntius javanicus,Cyprinidae,3
Channa stewartia,Channidae,3
Pethia narayani,Cyprinidae,3
Osteobrama belangiri,Cyprinidae,3
Labeo kontius,Cyprinidae,3
Hypselobarbus pulchellus,Cyprinidae,3
Aspidoparia jaya,Cyprinidae,2
Bangana dero,Cyprinidae,2
Danionella priapus,Cyprinidae,2
Devario assamensis,Cyprinidae,2
Garra annandalei,Cyprinidae,2
Garra arupi,Cyprinidae,2
Garra lissorhynchus,Cyprinidae,2
Garra nasuta,Cyprinidae,2
Labeo nandina,Cyprinidae,2
Megarasbora elanga,Cyprinidae,2
Pethia aurea,Cyprinidae,2
Schizothorax richardsonii,Cyprinidae,2
Systomus clavatus,Cyprinidae,2
Channa aurantimaculata,Channidae,2
Batasio spilurus,Bagridae,2
Chandramara chandramara,Bagridae,2
Hemibagrus menoda,Bagridae,2
Mystus carcio,Bagridae,2
Rita gogra,Bagridae,2
Bagarius yarrelli,Sisoridae,2
Erethistoides infuscatus,Sisoridae,2
Gagata gagata,Sisoridae,2
Glyptothorax dikrongensis,Sisoridae,2
Glyptothorax gracilis,Sisoridae,2
Glyptothorax radiolus,Sisoridae,2
Glyptothorax striatus,Sisoridae,2
Gogangra viridescens,Sisoridae,2
Hara horai,Sisoridae,2
Nangra assamensis,Sisoridae,2
Nangra nangra,Sisoridae,2
Pseudolaguvia ferruginea,Sisoridae,2
Pseudolaguvia flavida,Sisoridae,2
Pseudolaguvia foveolata,Sisoridae,2
Pseudolaguvia ribeiroi,Sisoridae,2
Sisor barakensis,Sisoridae,2
Ctenopharyngodon idella,Cyprinidae,2
Cyprinus rubrofuscus,Cyprinidae,2
Amblypharyngodon microlepis,Cyprinidae,1
Barilius barila,Cyprinidae,1
Barilius barna,Cyprinidae,1
Barilius tileo,Cyprinidae,1
Barilius vagra,Cyprinidae,1
Cabdio morar,Cyprinidae,1
Carassius auratus,Cyprinidae,1
Chela cachius,Cyprinidae,1
Chela laubuca,Cyprinidae,1
Chagunius chagunio,Cyprinidae,1
Crossocheilus latius,Cyprinidae,1
Ctenopharyngodon idellus,Cyprinidae,1
Cyprinion semiplotum,Cyprinidae,1
Danio dangila,Cyprinidae,1
Devario devario,Cyprinidae,1
Devario regina,Cyprinidae,1
Esomus danricus,Cyprinidae,1
Garra gotyla,Cyprinidae,1
Garra kempi,Cyprinidae,1
Garra lamta,Cyprinidae,1
Garra mullya,Cyprinidae,1
Hypophthalmichthys nobilis,Cyprinidae,1
Labeo angra,Cyprinidae,1
Labeo boga,Cyprinidae,1
Labeo dero,Cyprinidae,1
Labeo dyocheilus,Cyprinidae,1
Labeo fimbriatus,Cyprinidae,1
Labeo pangusia,Cyprinidae,1
Laubuka laubuca,Cyprinidae,1
Neolissochilus hexagonolepis,Cyprinidae,1
Oreichthys cosuatis,Cyprinidae,1
Oreichthys crenuchoides,Cyprinidae,1
Osteobrama belangeri,Cyprinidae,1
Pethia gelius,Cyprinidae,1
Pethia guganio,Cyprinidae,1
Pethia phutunio,Cyprinidae,1
Pethia shalynius,Cyprinidae,1
Pethia ticto,Cyprinidae,1
Puntius puntio,Cyprinidae,1
Puntius terio,Cyprinidae,1
Puntius vittatus,Cyprinidae,1
Raiamas bola,Cyprinidae,1
Rasbora rasbora,Cyprinidae,1
Salmophasia bacaila,Cyprinidae,1
Salmophasia horai,Cyprinidae,1
Salmophasia phulo,Cyprinidae,1
Salmophasia sardinella,Cyprinidae,1
Securicula gora,Cyprinidae,1
Channa bleheri,Channidae,1
Channa gachua,Channidae,1
Channa orientalis,Channidae,1
Channa stewartii,Channidae,1
Batasio merianiensis,Bagridae,1
Batasio tengana,Bagridae,1
Mystus bleekeri,Bagridae,1
Mystus cavasius,Bagridae,1
Mystus gulio,Bagridae,1
Mystus tengara,Bagridae,1
Olyra longicaudata,Bagridae,1
Sperata aor,Bagridae,1
Bagarius bagarius,Sisoridae,1
Conta pectinata,Sisoridae,1
Erethistes pusillus,Sisoridae,1
Erethistoides montana,Sisoridae,1
Gagata dolichonema,Sisoridae,1
Glyptothorax cavia,Sisoridae,1
Glyptothorax indicus,Sisoridae,1
Hara hara,Sisoridae,1
Hara jerdoni,Sisoridae,1
Hara koladynensis,Sisoridae,1
Pseudolaguvia ferula,Sisoridae,1
Pseudolaguvia shawi,Sisoridae,1
Sisor rabdophorus,Sisoridae,1
